utilization.gpu [%], memory.used [MiB]
8 %, 1493 MiB
8 %, 1486 MiB
9 %, 1491 MiB
1 %, 1491 MiB
8 %, 1487 MiB
8 %, 1487 MiB
8 %, 1491 MiB
8 %, 1487 MiB
8 %, 1486 MiB
8 %, 1491 MiB
9 %, 1486 MiB
8 %, 1486 MiB
8 %, 1486 MiB
0 %, 1491 MiB
8 %, 1487 MiB
8 %, 1486 MiB
0 %, 1488 MiB
9 %, 1488 MiB
8 %, 1492 MiB
9 %, 1488 MiB
9 %, 1488 MiB
9 %, 1488 MiB
10 %, 1492 MiB
10 %, 1488 MiB
9 %, 1488 MiB
9 %, 1492 MiB
9 %, 1488 MiB
9 %, 1492 MiB
10 %, 1488 MiB
9 %, 1493 MiB
9 %, 1488 MiB
10 %, 1501 MiB
0 %, 1505 MiB
9 %, 1500 MiB
9 %, 1505 MiB
11 %, 1501 MiB
0 %, 1505 MiB
10 %, 1501 MiB
10 %, 1500 MiB
10 %, 1500 MiB
12 %, 1504 MiB
10 %, 1500 MiB
12 %, 1500 MiB
12 %, 1500 MiB
11 %, 1500 MiB
13 %, 1504 MiB
12 %, 1500 MiB
11 %, 1500 MiB
12 %, 1500 MiB
0 %, 1500 MiB
10 %, 1504 MiB
11 %, 1506 MiB
11 %, 1506 MiB
10 %, 1506 MiB
10 %, 1505 MiB
3 %, 1505 MiB
10 %, 1510 MiB
10 %, 1510 MiB
10 %, 1510 MiB
10 %, 1505 MiB
10 %, 1505 MiB
10 %, 1505 MiB
9 %, 1505 MiB
12 %, 1503 MiB
11 %, 1503 MiB
11 %, 1503 MiB
11 %, 1504 MiB
11 %, 1514 MiB
8 %, 1514 MiB
11 %, 1514 MiB
11 %, 1510 MiB
